accession	strain	collection_date	country	host	organism
NC_002516	PAO1	unknown	unknown	unknown	P.aeruginosa
NC_008463	UCBPP-PA14	unknown	unknown	unknown	P.aeruginosa
NC_011770	unknown	1988	unknown	unknown	P.aeruginosa
NC_017548	M18	unknown	unknown	unknown	P.aeruginosa
NC_017549	NCGM2.S1	unknown	unknown	unknown	P.aeruginosa
NC_018080	DK2	unknown	unknown	unknown	P.aeruginosa
NC_020912	B136-33	unknown	unknown	Homo sapiens	P.aeruginosa
NC_021577	RP73	unknown	unknown	unknown	P.aeruginosa
NC_022806	PA1R	unknown	unknown	unknown	P.aeruginosa
NC_022808	PA1	unknown	unknown	unknown	P.aeruginosa
NC_023019	MTB-1	unknown	India	unknown	P.aeruginosa
NC_023066	LES431	unknown	unknown	unknown	P.aeruginosa
NC_023149	SCV20265	unknown	unknown	Homo sapiens	P.aeruginosa
NZ_AP014622	NCGM1900	2012	Japan	Homo sapiens	P.aeruginosa
NZ_AP014646	NCGM1984	2012	Japan	Homo sapiens	P.aeruginosa
NZ_AP014651	NCGM257	2004	unknown	Homo sapiens	P.aeruginosa
NZ_AP014839	8380	1989	Japan	Homo sapiens	P.aeruginosa
NZ_AP017302	IOMTU 133	2012	Nepal	Homo sapiens	P.aeruginosa
NZ_CP007147	YL84	unknown	Malaysia	unknown	P.aeruginosa
NZ_CP007399	F22031	2012	USA	Homo sapiens	P.aeruginosa
NZ_CP008739	VRFPA04	2013	India	Homo sapiens	P.aeruginosa
NZ_CP008857	unknown	2012	USA	homo sapien	P.aeruginosa
NZ_CP008858	unknown	2012	USA	homo sapien	P.aeruginosa
NZ_CP008861	unknown	2012	USA	homo sapien	P.aeruginosa
NZ_CP008863	unknown	2012	USA	homo sapien	P.aeruginosa
NZ_CP008867	unknown	2012	USA	homo sapien	P.aeruginosa
NZ_CP008868	unknown	2012	USA	homo sapien	P.aeruginosa
NZ_CP008873	unknown	2012	USA	homo sapien	P.aeruginosa
NZ_CP010555	FRD1	1979	USA	Homo sapiens	P.aeruginosa
NZ_CP011317	Carb01 63	2012	Netherlands	unknown	P.aeruginosa
NZ_CP012001	DSM 50071	unknown	unknown	unknown	P.aeruginosa
NZ_CP012066	F9676	2009	China	rice	P.aeruginosa
NZ_CP012578	PA_D2	2013	China	Homo sapiens	P.aeruginosa
NZ_CP012579	PA_D5	2014	China	Homo sapiens	P.aeruginosa
NZ_CP012580	PA_D9	2014	China	Homo sapiens	P.aeruginosa
NZ_CP012581	PA_D16	2014	China	Homo sapiens	P.aeruginosa
NZ_CP012582	PA_D21	2014	China	Homo sapiens	P.aeruginosa
NZ_CP012583	PA_D22	2014	China	Homo sapiens	P.aeruginosa
NZ_CP012584	PA_D25	2014	China	Homo sapiens	P.aeruginosa
NZ_CP012585	PA_D1	2013	China	Homo sapiens	P.aeruginosa
NZ_CP012679	PA1RG	2014	China	unknown	P.aeruginosa
NZ_CP013113	PAER4_119	unknown	unknown	unknown	P.aeruginosa
NZ_CP013245	VA-134	unknown	unknown	Homo sapiens	P.aeruginosa
NZ_CP013477	SCVFeb	2013	United Kingdom	unknown	P.aeruginosa
NZ_CP013478	SCVJan	2013	United Kingdom	unknown	P.aeruginosa
NZ_CP013479	NHmuc	2013	Netherlands	Homo sapiens	P.aeruginosa
NZ_CP013680	AES-1R	unknown	unknown	Homo sapiens	P.aeruginosa
NZ_CP013696	12-4-4(59)	unknown	unknown	Homo sapiens	P.aeruginosa
NZ_CP013989	USDA-ARS-USMARC-41639	2013	USA	Bos taurus	P.aeruginosa
NZ_CP013993	DH01	1997	France	Homo sapiens	P.aeruginosa
NZ_CP014866	PA_154197	unknown	Hong Kong	Homo sapiens	P.aeruginosa
NZ_CP014948	N17-1	2013	China	unknown	P.aeruginosa
NZ_CP014999	PA7790	2006	Brazil	Homo sapiens	P.aeruginosa
NZ_CP015001	PA1088	1997	Brazil	Homo sapiens	P.aeruginosa
NZ_CP015002	PA8281	2007	Brazil	Homo sapiens	P.aeruginosa
NZ_CP015003	PA11803	2011	Brazil	Homo sapiens	P.aeruginosa
NZ_CP015117	ATCC 27853	2014	Netherlands	Homo sapiens	P.aeruginosa
NZ_CP015377	BAMC 07-48	unknown	unknown	Homo sapiens	P.aeruginosa
NZ_CP015877	SJTD-1	unknown	China	unknown	P.aeruginosa
NZ_CP016214	PA121617	2012	China	Homo sapiens	P.aeruginosa
NZ_CP016955	RIVM-EMC2982	unknown	Netherlands	Homo sapiens	P.aeruginosa
NZ_CP017099	DN1	2013	China	unknown	P.aeruginosa
NZ_CP017149	ATCC 15692	unknown	unknown	unknown	P.aeruginosa
NZ_CP017353	FA-HZ1	2015	China	unknown	P.aeruginosa
NZ_CP017969	unknown	2008	USA	unknown	P.aeruginosa
NZ_CP020603	E6130952	2014	Canada	Homo sapiens	P.aeruginosa
NZ_LN831024	NCTC10332; NCTC10332	1963	Czech Republic	not known	P.aeruginosa
NZ_LN871187	PAO1_Orsay	unknown	unknown	unknown	P.aeruginosa
NZ_LT608330	unknown	unknown	unknown	unknown	P.aeruginosa
NZ_LT673656	unknown	unknown	unknown	unknown	P.aeruginosa
